ID	Year	Mon	Res	solids	NTU	org/ml	MPN/100ml	MPN/100ml	LosR	Silica	Ca	Mg	Ca+Mg	NO3	NO3 (USGS)	Cl2	Na	SO4	K	pH	Alk	Hard	Nhard	C USGSTemp	F USGS	Temp	MD Precip inch/mon	MD Temp F
	1955	7	164						35	5.5	29	4.4	33.4	0.2		4.6		36		8	70	89	25			87	2.37	79.2
	1955	8	160						32	7.2	27	4.8	31.8	0.6		3.7		31		7.8	59	90	30			80	12.2	76.5
	1955	9	157						36	6.7	31	5.2	36.2	1.1		5.1		34		7.9	72	102	31			74	2.46	66.9
	1955	10	160						32	6.5	32	5.7	37.7	1		6.1		35		7.8	70	106	36			63	4.01	57.3
	1955	11	170						37	4.5	34	7.9	41.9	0.9		7.2		32		7.8	73	116	43			48	1.85	42.6
	1955	12	179						39	3.9	35	8.8	43.8	0.8		7.2		33		8.3	76	123	47			36	0.48	30.8
	1956	1	181						41	6.2	35	9.1	44.1	0.77		8.1		34		8	74	124	50			34	2.44	31.4
	1956	2	162						35	4.9	28	4.9	32.9	1.1		3.7		31		7.5	35	69	34			40	3.79	37.9
	1956	3	161						32	5.5	25	4.1	29.1	1.3		1.8		28		7.2	38	74	36			45	4.1	40.4
	1956	4	157						32	6.2	26	4.3	30.3	1.2		2.6		29		7.5	44	76	32			54	2.66	50.3
	1956	5	169						35	4.6	28	5.8	33.8	0.8		4.1		22		7.7	58	88	30			67	3	60.9
	1956	6	167						34	8.4	24	5.4	29.4	0.95		4.1		25		7.6	56	86	30			76	3.6	70.8
	1956	7	158						46	7.4	28	7.2	35.2	0.72		3.3		24		7.4	57	84	27			78	6.69	73.9
	1956	8	162						47	7.2	28	6.4	34.4	0.53		5.3		28		7.8	69	96	30			78	3.09	72.8
	1956	9	167						51	6	31	7.2	38.2	0.73		5.9		28		8	80	109	29			73	3.69	64.6
	1956	10	165						55	5.9	32	6.8	38.8	0.35		3.8		29		7.8	77	108	31			62	4.28	57.1
	1956	11	154						47	6.4	29	6.8	35.8	0.87		6.9		26		7.5	62	90	28			49	3.59	45.1
	1956	12	150						50	5.8	27	6.7	33.7	1.1		5.9		29		7.6	58	96	38			45	3.51	43
	1957	1	148						47	6.7	22	6.4	28.4	0.85		4.3		26		7.5	46	81	35			37	2.9	30.1
	1957	2	192						45	6.2	20	5.2	25.2	0.9		3.8		25		7.5	39	71	32			43	3.42	38.2
	1957	3	157						39	5.2	21	5.2	26.2	1.1		5.5		25		7.8	47	74	27			48	2.99	42.2
	1957	4	160						41	5.6	21	5	26	0.9		3.6		25		7.6	49	75	26			59	3.01	55.6
	1957	5	164						40	6.2	25	5.3	30.3	0.9		4.8		25		7.8	66	86	20			72	1.89	63.9
	1957	6	171						43	6.6	31	6.3	37.3	0.64		6.2		26		7.8	69	70	21			80	3.66	73.3
	1957	7	182						52	6.6	38	6.4	44.4	0.22		8.3		32		7.9	75	103	24			86	1.78	75.1
	1957	8	190						57	6.4	39	7.1	46.1	0.05		13.8		37		8	85	120	35			80	2.8	72.2
	1957	9	227						64	4.5	40	7.4	47.4	0.14		12.1		53		8	93	127	34			77	4.72	68.4
	1957	10	234						68	5.5	40	7.6	47.6	0.3		9		55		8.3	87	132	42			60	3.47	52.3
	1957	11	185						52	5	36	6.6	42.6	0.5		8.3		49		7.9	82	118	36			50	3.52	46.2
	1957	12	150						34	4.4	25	5.3	30.3	1		4.6		27		7.7	49	83	32			41	5.85	38.5
	1958	1	150						37	6.2	18	5.3	23.3	1.2		4		30		7.6	40	67	27			35	3.73	30.9
	1958	2	135						32	5.7	21	6.2	27.2	1.4		4.3		26		7.7	42	78	29			35	3.77	28
	1958	3	117						24	5.4	16	4.5	20.5	1.3		3.3		24		7.6	38	58	20			41	5.78	38.4
	1958	4	125						26	5.7	19	4.7	23.7	1.2		3.7		24		7.7	43	62	19			56	4.57	52.9
	1958	5	129						27	5.5	20	5.2	25.2	1.3		4.5		29		7.9	51	70	21			65	4.25	61.4
	1958	6	152						37	5.9	27	5.7	32.7	0.7		6.2		30		7.9	68	91	23			74	4.12	67.7
	1958	7	156						39	5.4	25	5.5	30.5	0.5		8.3		33		7.8	67	86	19			80	6.38	76.3
	1958	8	170						42	5.8	25	5.2	30.2	0.96		6.4		33		8.1	65	82	17			79	6.37	72.6
	1958	9	162						40	5.6	32	5.9	37.9	0.44		8.6		39		8.1	84	103	19			74	2.5	65.7
	1958	10	183						45	6	36	6	42	0.6		11.7		45		8.3	89	116	27			62	2.73	55.4
	1958	11	188						51	6.5	39	6.2	45.2	0.6		13.2		47		8	97	121	24			52	2.6	46.8
	1958	12	189						49	6.6	38	6	44	0.8		12.5		46		8.2	86	120	34			36	1.84	28.7
	1959	1	159											#REF!		10		36		7.9						32	2.29	31.3
	1959	2	142											#REF!		10		30		7.5						36	2.08	34.9
	1959	3	124											#REF!		9		27		7.9						43	2.96	42.1
	1959	4	109											#REF!		12		21		7.7						55	3.72	54.9
	1959	5	108											#REF!		8		22		7.7						66	2.3	65.8
	1959	6	130											#REF!		9		24		8.1						74	2.69	71.8
	1959	7	158											#REF!		9		37		8.3						81	6.54	75.5
	1959	8	167											#REF!		12		38		8						82	4.67	76.2
	1959	9	189											#REF!		16		49		8.4						75	1.65	69.1
	1959	10	186											#REF!		14		46		7.9						62	4.85	59
	1959	11	148											#REF!		13		27		8						44	3.63	43.9
	1959	12	122											#REF!		10		30		7.9						35	3.48	38.4
	1960	1	100						22	4.4	21	5.3	26.3	0.9		8.3		24		7.6	42	74	32			39	2.76	34.9
	1960	2	116						27	4.7	21	5.4	26.4	0.77		7.7		25		7.8	44	75	31			40	3.86	35
	1960	3	118						24	4.8	26	5.2	31.2	0.85		10.6		25		8	50	85	35			39	2.34	31.7
	1960	4	122						23	4.9	23	5	28	0.63		6.6		27		8	49	79	30			74	3.01	56.9
	1960	5	129						27	5.1	26	5.2	31.2	0.3		9.1		26		8	55	85	30			74	5.99	60.3
	1960	6	150						42	5.7	25	5	30	0.4		7.5		27		7.9	57	82	25			80	2.45	70.2
	1960	7	174						39	6.5	35	5.9	40.9	0.27		9.6		33		8.2	76	112	36			81	5.96	72.8
	1960	8	172						42	6.7	36	6.1	42.1	0.27		10.2		37		8	85	115	30			75	4.03	75.2
	1960	9	180						45	6.9	37	6.4	43.4	0.4		10.2		38		8	82	118	36			75	6.75	67.3
	1960	10	184						47	7.4	38	6.3	44.3	0.3		9.6		39		8.2	89	120	31			63	2.65	55.5
	1960	11	204						50	7.6	44	6.4	50.4	0.27		13.7		42		8.3	96	136	38			51	1.94	46.1
	1960	12	207						47	7.2	43	6.7	49.7	0.8		11		44		8.4	104	134	32			37	2.66	28.3
	1961	1	158						41	6	31	5.9	36.9	0.45		11.3		32		7.9	61	100	41			34	3.11	26.8
	1961	2	137						29	5.6	26	5.3	31.3	0.75		6.7		27		7.7	60	88	28			37	4.9	35.8
	1961	3	110						22	5	18	5	23	0.93		4.5		26		7.6	43	67	24			48	4.37	44.3
	1961	4	121						27	5.2	19	5.1	24.1	0.6		5		25		7.7	44	68	24			53	4.36	48.4
	1961	5	132						30	5.2	22	5.2	27.2	0.7		5.7		27		7.9	53	77	24			64	3.57	58.8
	1961	6	148						34	5.5	29	5.7	34.7	0.42		7.5		32		8.2	66	97	31			77	4.55	69.8
	1961	7	152						37	5.7	34	5.8	39.8	0.44		7.2		30		8	78	108	30			83	3.51	75.1
	1961	8	192						55	6	39	6.4	45.4	0.22		12.9		38		7.9	78	121	43			82	3.79	73.6
	1961	9	188						46	9.6	39	6.9	45.9	0.13		8.9		32		8.2	91	125	34			79	1.46	71.6
	1961	10	217						51	6.9	43	7.2	50.2	0.39		13.5		38		8.3	106	137	31			64	3.29	56.9
	1961	11	206						44	6.8	41	7	48	0.37		12.6		37		8.2	97	131	34			54	2.34	47.1
	1961	12	156						32	6.2	34	6	40	0.57		11.6		32		8.2	75	110	35			39	3.7	33.8
	1962	1	142						35	6	26	5.6	31.6	0.97		6.9		28		7.9	55	87	32			36	2.97	32
	1962	2	147						37	6.2	24	5.3	29.3	1.1		8.7		27		8.1	53	83	30			39	4.25	32
	1962	3	120						24	5.5	18	5.2	23.2	0.63		8.8		24		7.7	36	65	29			45	4.18	40.2
	1962	4	115						25	5.4	21	5.4	26.4	0.66		5.2		26		7.8	47	76	29			56	4.01	52.5
	1962	5	136						27	5.8	28	5.8	33.8	0.27		6.2		28		8.2	64	94	30			72	2.39	65.3
	1962	6	157						31	6.2	32	6.5	38.5	0.33		5.9		29		8	70	108	38			78	3.98	70.7
	1962	7	174						47	7.6	37	6.8	43.8	0.06		9.5		36		8.2	75	121	46			79	2.42	71.9
	1962	8	197						56	9	37	6.9	43.9	0.11		12.3		44		7.9	85	120	35			79	1.4	72.7
	1962	9	220						62	10.2	38	6.8	44.8	0.03		15.5		50		8	92	123	31			72	3.1	63.5
	1962	10	238						65	11.4	45	7.9	52.9	0.27		19.7		52		8.3	106	144	38			64	2.41	57
	1962	11	182						52	9	34	6.4	40.4	0.56		10		90		8.1	76	112	36			48	5.37	42
	1962	12	154						39	7.2	29	5.7	34.7	0.78		11.1		33		7.8	69	99	30			39	3.1	30.4
	1963	1	155							3.9	28	5	33	0.65		9.2		30		7.9	60	96	30			34	1.93	29
	1963	2	158							4.2	30	5.4	35.4	0.8		12.6		29		7.9	64	96	32			33	1.89	27.5
	1963	3	128							3	20	4	24	0.8		8		25		7.7	41	63	22			42	5.75	45.1
	1963	4	149							3.9	29	5.2	34.2	0.67		8.1		27		8.3	65	93	29			59	1.39	53.1
	1963	5	166							2.8	30	5.9	35.9	0.08		9.2		37		8.5	69	98	29			69	2.39	60.9
	1963	6	145							5.2	24	5.2	29.2	0.3		6		32		7.9	56	82	26			74	5.06	70.3
	1963	7	172							5.9	33	5.9	38.9	0.26		10.8		42			75	107	32			83	1.89	74.5
	1963	8	210							7.1	34	6.5	40.5	0.11		16.2		59		7.8	81	114	33			80	3.57	71.9
	1963	9	238							8.4	44	7.2	51.2	0.09		23.2		72		8	92	139	47			73	3.93	63.2
	1963	10	263							9.6	45	8	53	0.05		20.2		87		8.3	99	145	46			65	0.16	58.3
	1963	11	211							8.2	44	7	51	0.22		22.2		70		8.1	93	138	45			53	6.32	47.7
	1963	12	173							6.9	30	5.8	35.8	0.52		13.3		52		7.9	64	98	34			39	2.21	28.7
	1964	1	164							6.2	22	4.9	26.9	0.84		9.2		45		7.8	49	76	27			38	4.15	33.7
	1964	2	158							5.8	23	4.2	27.2	0.93		7.5		46		7.8	46	74	28			38	3.97	32.3
	1964	3	147							5.4	18	5	23	0.8		7.3		44		7.8	45	67	22			47	3.05	43.8
	1964	4	149							5.3	21	4.7	25.7	0.6		12.2		47		8.3	49	71	22			54	5.34	50.7
	1964	5	148							5.9	34	5.1	39.1	0.57		6.6		40		8.1	63	83	20			65	0.8	63.8
	1964	6	175							6.9	33	6.7	39.7	0.36		12.4		49		8	80	111	31			75	2.41	71.3
	1964	7	197							7.8	34	6.5	40.5	0.21		14.3		64		8.2	67	110	43			86	3.47	75.1
	1964	8	239							8.2	38	7	45	0.16		22.1		85		8.5	75	125	56			77	2.08	71.3
	1964	9	278							8.5	48	7.3	55.3	0.5		28.1		97		8.2	82	141	59			74	3.66	67
	1964	10	257							9.8	45	8	53	0.07		27.3		95		8.5	92	146	54			61	1.94	52.3
	1964	11	248							9.6	47	9	56	0.2		19.1		86		8.6	102	154	52			53	2.25	47.8
	1964	12	188							7.2	37	6.5	43.5	0.7		11.9		64		8.6	66	117	51			46	3.8	37.9
	1965	1	147							6.4	29	7.4	36.4	0.49		9.4		40		8.1	51	103	152			41	3.2	30.9
	1965	2	110							4.9	26	6.9	32.9	0.87		7.5		38		7.9	44	94	50			42	2.65	34.3
	1965	3	126							4.7	31	7	38	0.77		6.54		26		7.8	46	105	59			47	4.28	39
	1965	4	132							5.1	27	6.7	33.7	0.5		6.9		29		7.9	53	94	41			57	2.42	49.7
	1965	5	136							4.7	28	7.4	35.4	0.23		7.9		26		8.3	65	100	35			72	1.67	66.3
	1965	6	178							7.2	32	7.7	39.7	0.2		16.5		34		8.2	80	112	32			77	2.52	69.2
	1965	7	194							8.8	33	8.9	41.9	0.24		22.9		72		8.1	73	114	41			81	3.28	73.9
	1965	8	256							8.7	35	8.5	43.5	0.1		22.9		89		8.2	77	123	46			81	4.77	73
	1965	9	267							8.4	42	8.5	50.5	0.26		27.7		87		8	86	139	53			76	2.77	68.8
	1965	10	271							8.2	45	7.6	52.6	0.42		26		67		8.3	94	144	56			62	2.36	53.5
	1965	11	300							10.1	52	7.6	59.6	0.35		27		88		8.5	105	162	57			53	0.86	45.5
	1965	12	309							10.6	61	6.9	67.9	0.57		29.4		91		8.5	121	181	60			47	0.79	38.5
	1966	1	254						25	8.7	56	7.2	63.2	0.93		27.3		81		8.4	100	167	67			42	3.78	29
	1966	2	176						17	7.2	40	7.2	47.2	1.44		17.6		51		8.1	71	125	54			39	3.77	32.7
	1966	3	144						10	6.5	28	7.1	35.1	1.83		10.3		30		7.9	52	96	44			50	1.44	43.7
	1966	4	154						8	6.9	30	5.2	35.2	0.61		8.1		37		8.3	62	96	34			58	4.07	48.3
	1966	5	121						7	5.4	27	4.6	31.6	0.56		7.1		28		8.1	55	88	33			66	3.36	60.9
	1966	6	180						15	6	33	6.3	39.3	0.35		14.7		44		7.9	74	108	34			78	1.79	71
	1966	7	240						35	5.4	38	7.6	45.6	0.24		20.3		72		7.9	80	126	46			83	1.86	76.6
	1966	8	310						44	4.8	43	7.9	50.9	0.14		30		102		8.6	82	141	59			80	1.6	74.5
	1966	9	256						28	4.9	39	5.7	44.7	0.82		29		70		7.8	66	123	57			71	7.15	64.3
	1966	10	145						9	2.5	35	5.6	40.6	1.05		10.5		28		8.2	69	109	46			61	3.72	53.3
	1966	11	175						9	4.5	42	5.4	47.4	0.33		13.6		35		8.4	87	126	39			53	2	45.9
	1966	12	145						8	3.7	32	4.7	36.7	1.52		10.4		26		7.9	57	99	42			45	3.01	34.7
	1967	1	140						6	3.5	29	5.2	34.2	2.5		11.2		58		7.9	51	94	43			43	1.36	37.3
	1967	2	136						7	3.4	30	4.5	34.5	1.8		11.7		48		7.8	56	91	41			42	2.47	30.5
	1967	3	138						3.5	6.2	28	4.5	32.5	1.8		7.8		26		7.8	45	87	42			48	4.08	41.2
	1967	4	139						6.2	2.2	33	4.8	37.8	2.1		9.5		27		8.2	62	101	40			61	1.9	53.2
	1967	5	122						5.4	1.1	28	4.6	32.6	1.3		7.5		21		7.9	49	87	38			62	4.54	56.5
	1967	6	175						8.5	1.4	35	5.3	40.3	0.56		12.1		29		8.3	71	110	39			79	2.69	70.6
	1967	7	158						11.5	2.7	39	4.9	43.9	1.1		12.3		33		7.8	74	118	44			81	4.63	73.6
	1967	8	125						8.6	3.2	32	4.9	36.9	1.3		10.5		30		7.7	67	97	30			78	8.96	72.2
	1967	9	260						12.1	2.5	36	6.7	42.7	1.3		12.2		35		8.3	83	119	34			72	1.49	63.7
	1967	10	222						14.2	3	41	5.3	46.3	1.2		13.7		34		8	91	122	31			62	2.11	54.3
	1967	11	169						7.4	3.4	34	6.4	40.4	1.3		11.7		28		8.1	80	111	31			48	2.23	40.9
	1967	12	119						6	5.6	27	5.8	32.8	1.4		10.5		28		7.8	56	90	34			41	5.18	37
	1968	1	143						4.3	4.8	29	5.5	34.5	1.8		10.8		31		7.8	60	96	36			38	2.5	28.9
	1968	2	125						5	5.3	28	6.2	34.2	1.8		8.5		25		8	61	96	35			37	0.64	29.6
	1968	3	141						6.1	3.1	29	6.6	35.6	1.5		10.8		25		8.1	60	87	37			47	4.52	45.3
	1968	4	144						5.3	2.1	32	6.9	38.9	1		9.5		28		8.4	73	109	36			63	1.6	53.1
	1968	5	178						7	3.2	36	6.9	42.9	1.1		3		31		8.2	81	119	38			66	5.16	59.3
	1968	6	157						3.6	4.4	29	5.6	34.6	1.1		9.2		23		7.6	58	95	37			75	4.14	70.7
	1968	7	168						15.5	1.1	32	7.3	39.3	0.33		14.4		43		7.9	71	110	39			84	2.38	75.3
	1968	8	213						22.9	0.9	34	8.6	42.6	0.45		20.6		60		7.7	74	121	47			83	3.32	75.6
	1968	9	253						21.3	0.8	37	8.6	45.6	0.6		22.5		62		7.7	76	128	52			76	3.12	66.9
	1968	10	270						28	0.8	46	9.3	55.3	1.5		26		85		7.9	103	154	51			65	2.88	57.6
	1968	11	220						14.9	4.6	43	8.4	51.4	1.3		20.4		47		7.9	85	143	58			51	3.96	46.4
	1968	12	222						7.8	3	34	9.8	43.8	2		13.4		43		8.1	69	122	53			39	2.43	33.1
	1969	1	172						8.5	2.5	35	9	44	0.39		14.8		41		8.2	69	122	53			36	1.87	31.3
	1969	2	150						6.7	3.8	29	8	37	0.43		16.1		27		8	57	107	50			40	2.13	32.4
	1969	3	159						8.4	1.9	33	7.9	40.9	0.36		16.9		33		8	62	111	49			48	2.27	38.8
	1969	4	143						5.1	1.8	29	7.3	36.3	0.22		11.4		26		7.9	56	102	46			61	2.57	54.4
	1969	5	160						9.5	0.8	33	7	40	0.1		13.5		31		8.3	73	111	38			72	2.19	63.1
	1969	6	196						15.5	1	34	8	42	0.09		14.9		43		7.9	76	114	42			80	2.62	72.4
	1969	7	226						27.9	2.1	36	7.5	43.5	0.12		22.3		60		7.6	78	127	44			82	6.59	75.3
	1969	8	198						9.7	5.5	33	4	37	0.206		12.8		30		7.7	69	100	31			80	6.08	72.7
	1969	9	185						11.2	2.6	34	9.7	43.7	0.11		12.6		43		8.2	78	114	36			76	3.42	66.2
	1969	10	229						14.8	1.2	38	9.7	47.7	0.102		17.9		52		8.4	96	134	38			64	1.44	54.9
	1969	11	236						12.5	3.6	39	9.5	48.5	0.3		21.3		47		8	95	137	42			49	2.26	43.4
	1969	12	186						6.7	4.4	30	7.3	37.3	0.35		14.7		25		7.9	62	103	41			46	6.95	32.3
	1970	1	171						6.6	6.1	29	7.9	36.9	0.5		12.3		24		7.7	58	104	46			37	1.4	25.8
	1970	2	133						4.3	5.8	24	7.4	31.4	0.54		10.5		18		7.6	43	96	47			40	2.67	33.1
	1970	3	148						4.6	5.4	26	7.5	33.5	0.44		11.2		19		7.8	46	93	47			49	3.89	38.2
	1970	4	134						7.6	6	24	7.1	31.1	0.38		10.2		18		7.7	41	87	46			54	4.67	51.5
	1970	5	172						7.8	4.2	32	7.5	39.5	0.33		10.8		21		8	68	112	44			72	2.77	64.6
	1970	6	205						6.1	4.1	35	7.7	42.7	0.3		11.7		25		8	73	117	44			79	4.59	70.6
	1970	7	178						5.7	4.3	31	6.4	37.4	0.47		8.7		22		8	73	101	28			79	5.91	74.6
	1970	8	224						9.5	1.8	38	8.2	46.2	0.47		15.6		36		8	87	128	41			72	2.6	74.2
	1970	9	240						13.3	1.4	37	10.3	47.3	0.36		19		51		7.7	85	135	50			79	1.69	70.4
	1970	10	287						18.7	1.9	45	11.5	56.5	0.42		23.3		63		8.2	101	161	60			67	2.9	59
	1970	11	191						11.8	9.3	32	7.8	39.8	0.79		13.3		32		7.8	64	109	45			54	4.21	46.1
	1970	12	170						8.7	5.7	32	7.7	39.7	0.97		8.9		30		7.8	61	106	45			41	3.56	36
	1971	1	154						10.6	6.2	27	7.5	34.5	0.89		10.4		28		7.8	53	99	46			38	3.15	28.2
	1971	2	122						9.6	5.9	21	5.9	26.9	0.47		15.3		21		7.6	45	84	39			41	5.24	35.1
	1971	3	139						8.8	5.8	26	7.2	33.2	0.83		9.1		25		7.7	48	94	46			50	2.34	40
	1971	4	161						8.1	1.7	30	6.6	36.6	0.6		9.5		28		8.2	61	100	39			63	2.09	50.3
	1971	5	153						6.2	4.1	25	5.5	30.5	0.62		9.3		24		7.7	56	88	33			71	6.53	59.7
	1971	6	175						6.5	5.3	28	5.2	33.2	0.43		8.9		17		8	66	93	27			82	2.24	71.8
	1971	7	192						13.3	2	29	8.9	37.9	0.36		16.4		27		8	72	109	37			84	4.03	73.6
	1971	8	188						10.4	4.1	29	6.5	35.5	0.76		13.4		31		7.9	64	99	35			81	8.65	72.1
	1971	9	186						4.5	4.9	28	6.4	34.4	0.92		11.8		42		7.8	64	98	34			77	4.22	69.2
	1971	10	174						5.2	6.9	31	6.2	37.2	1.44		12.2		28		7.8	68	105	37			67	6.56	61.5
	1971	11	174						5.9	6.9	28	6.3	34.3	1.77		12.6		25		7.8	63	96	33			54	3.99	44.6
	1971	12	143						5.3	6.5	23	5.2	28.2	1.83		14		26		7.7	49	83	34			45	1.6	42.6
	1972	1	160						5.5	5.5	25	6.2	31.2	1.63		14.4		30		7.9	57	90	33			43	3.08	35.5
	1972	2	162						7.7	5.9	23	6.3	29.3	1.64		11.7		26		7.8	45	80	35			40	5.55	32.3
	1972	3	145						9.6	7.1	22	5.4	27.4	1.67		9.4		23		7.7	44	77	33			47	2.81	41.4
	1972	4	144						8.7	9.8	23	5.3	28.3	1.36		10.8		28		7.8	51	80	29			57	4.75	50.2
	1972	5	143						4.7	9.6	23	5.1	28.1	1.15		8.7		24		7.7	54	80	26			65	4.91	61.5
	1972	6	154							7.6	27	5.6	32.6	1.54		8.3		24		7.9	67	88	21			69	11.02	67
	1972	7	179								30	6.2	36.2	0.93		7.4		25		7.8	77	97	20			75	3	74.5
	1972	8	198						12.4	3.3	36	8.5	44.5	1.06		10.7		32		8.3	92	115	23			76	2.66	72.5
	1972	9	227						15	1.9	39	6.4	45.4	0.8		14.6		47		8.1	107	133	26			72	2.45	67.4
	1972	10	190							4.3	37	6.4	43.4	1.2		10.7		35		8	97	121	24			56	3.77	52.2
	1972	11	157						9.2	4.1	27	5.7	32.7	1.38		8.2		36		7.8	70	92	22			49	6.87	42.5
	1972	12	119						3.5	6.1	21	3.9	24.9	1.39		7.4		25		7.6	46	70	24			45	5.6	40.4
	1973	1	132						7.7	6.2	26	4.8	30.8	1.66		10.1		27	1.6	7.8	63	85	22			43	3.01	34.5
	1973	2	124						6.3	6.4	22	4.4	26.4	1.88		9.4		26	1.7	7.7	53	72	19			42	3.41	33
	1973	3	134						7.8	4.9	23	5.3	28.3	1.39		9.4		27	2	7.9	57	81	24			52	3.19	47.4
	1973	4	118						0.1	5.4	21	4.6	25.6	1.44		7.1		24	1	7.7	46	72	26			57	5.86	52.1
	1973	5	121						8.2	5.1	25	5.2	30.2	1.08		7.1		22	1.8	7.9	57	85	28			63	4.03	59.6
	1973	6	154						6.7	5.6	28	5.3	33.3	1.47		9.2		26	2.2	7.8	68	93	25			68	3.74	72.9
	1973	7	196						8.3	4.8	34	7.4	41.4	1.24		14.9		31	2.5	8.2	80	115	35			68	2.9	75.1
	1973	8	212						15	3.2	35	8.1	43.1	1.3				49	1.8	7.8	84	124	46			78	4.95	75.1
	1973	9	211						132	4.2	38	7.5	45.5	1.55				39	2.4	8.3	88	127	39			80	3.53	68.7
	1973	10	221						12.1	3.6	43	8.4	51.4	1.79		13.1		43	1.4	7.9	94	144	50			69	2.92	57.9
	1973	11	176						7.4	5.4	33	6.7	39.7			8.4		31	1.05	7.8	83	112	29			55	1.57	47.1
	1973	12	149						7	5	29	5.4	34.4	1.33		22		28	1	7.8	61	92	31			47	5.71	37.3
	1974	1	134							7.4	24	5	29	1.66		10		25	0.6	7.7	51	80	29			46	3.68	38.5
	1974	2	161							5.4	35	6.4	41.4	1.72		12.1		41	0.5	8.2	79	116	37			47	1.51	34
	1974	3	133							1.6	30	5.9	35.9	1.41		13.5		18	0.6	8.5	65	101	36			53	4.27	44.8
	1974	4	125							3.6	24	4.6	28.6	1.32		6.8		15	1	7.8	56	81	25			59	2.64	54.6
	1974	5	147							2.7	34	5.1	39.1	1.35		8.2		15	1.1	8.2	74	102	28			72	4.41	61.5
	1974	6	148							3.3	31	4.2	35.2	1.29		7.1		20	1.1	8	63	95	32			77	4.46	67.5
	1974	7	158							3	33	5.7	38.7	1.08		10.7		28	1.2	8.2	68	108	40			84	1.74	74.2
	1974	8	204							1.5	35	7.9	42.9	0.19		17.2		38	0.9	7.8	72	120	48			85	4.71	73.4
	1974	9	201							1.4	42	5.8	47.8	0.95		16.8		28	2.1	8.4	90	131	41			78	4.76	65.4
	1974	10	248								55	7.4	62.4	0.68		24		42	1.6	8.6	112	168	56			62	1.3	52.8
	1974	11	245							1.4	54	7.5	61.5	0.65		20.6		35	1.1	8.3	109	165	56			56	1.58	45.6
	1974	12	165							5.3	32	5.2	37.2	1.75		11.7		15	1.2	7.8	56	93	42			46	5.34	38.1
	1975	1								4.3	29	3.8	32.8	1.67		26.8		15	1.4	7.7	47	88	41			45	4.16	36.7
	1975	2								3.9	29	3.8	32.8	1.18		20.2		14	1.12	7.8	48	91	43			46	2.74	36
	1975	3	108							3.9	29	4.7	33.7	1.52		14		11	1	7.8	51	92	41			51	5.32	41
	1975	4	131							2.2	32	5.1	37.1	1.48		12.7		11	0.85	8.1	60	102	42			59	3.18	47.6
	1975	5	124							4.3	28	3.6	31.6	1.31		11.9		11	0.9	7.8	56	86	36			70	4.59	64.4
	1975	6	156							5.6	32	5.7	37.7	1.06		13.1		10	1.6	8	65	103	38			79	5.24	70.7
	1975	7	173							4.7	34	6.3	40.3	1.62		12		13	1.9	7.9	73	111	38			82	6.93	73.8
	1975	8	213							2.6	41	8	49	1.13		13.9		22		8.2	93	137	44			85	4.04	75.2
	1975	9	185							4.2	36	6.1	42.1	1.56		9.8		20		7.8	73	116	43			74	9.18	64.1
	1975	10	152							6.8	32	5.3	37.3	1.97		9.8		12		7.8	63	101	38			65	3.41	58.8
	1975	11	152							4.6	33	7	40	1.91		10.3		12		8	69	108	39			58	2.57	49.7
	1975	12	154							2.2	34	6.9	40.9	2.05		11		13		8.3	70	113	43			74	3.05	36.2
	1976	1	130							6.2	25	5.8	30.8	2.18		10.8		12		7.6	53	91				40	4.96	29.5
	1976	2	140							5.2	28	5.9	33.9	1.87		10.4		14		7.8	53	93				47	1.62	42.1
	1976	3	136							2.6	31	5.6	36.6	1.58		13.3		16		8.3	57	101				55	2.4	46.8
	1976	4	134							3.2	32	5.4	37.4	1.47		11.2		15	2.3	8.1	59	102				64	1.66	54.7
	1976	5	177							1.2	40	6.6	46.6	0.91		14.4		21		8.4	73	129				71	4.15	60.5
	1976	6	178							3.8	39	5.6	44.6	1.1		12.8		18		7.9	75	119				81	2.74	72.3
	1976	7	192							3.7	36	6.4	42.4	1.02		15.5		19	2.63	8.2	80	117				83	4.05	73
	1976	8	204							1.8	41	5.2	46.2	0.53		16.9		25	3.05	8	79	124				84	3.58	71.5
	1976	9	255							1.6	46	8.6	54.6	0.71		20.2		36	3.1	7.9	92	146				77	4.84	65.3
	1976	10	136							5.6	33	6.2	39.2	1.18		9.2		16	2.04	7.6	59	107				63	8.05	51.4
	1976	11	149							4.3	37	5.3	42.3	1.58		11		20	1.65	7.8	71	116				51	1.04	39.3
	1976	12	169							2.2	38	6.1	44.1	1.7		12.5		24	1.2	8	67	117				42	2.29	31.3
	1977	1	156							1.8	46	8.6	54.6	2.19		16.5		34	1.1	8.3	89	148				38	1.87	21.2
	1977	2	176							2.1	43	8.5	51.5	1.62		16.4		39	1.8	8.2	76	142				41	1.03	34.1
	1977	3	122							4.5	25	5.6	30.6	1.18		11.4		20	2.4	7.5	38	82				53	3.65	48.1
	1977	4	136							3.4	29	5.1	34.1	1.1		10		22	2.1	7.9	55	93				64	3.17	55.4
	1977	5	191							1.2	40	7.8	47.8	0.76		13.6		33	2.2	8.3	85	132				76	1.95	64.8
	1977	6	236							2.2	50	8.3	58.3	0.41		19.9		42	2.6	8.2	93	157				79	3.65	68.5
	1977	7	224							1.3	40	8.9	48.9	0.21		23.9		49	3.2	7.8	75	138				87	3.25	76.3
	1977	8	236							1.8	42	7.9	49.9	0.22		24.6		48	3.2	7.9	82	139				85	3.65	75
